"","category_revision2","operationalisation","bibtexkey","author","title","year","category"
"202","concernedAbout","“I think of myself as the sort of person who is concerned about the long-term health effects of my food choices” ","1998-10865-00519980801","Sparks, Paul and Guthrie, Carol A.","Self-identity and the theory of planned behavior: A useful addition or an unhelpful artifice?","1998","concernedAbout"
"206","concernedAbout","""I think of myself as someone who is concerned about the health consequences of what I eat"" ","1996-11242-00119950601","Sparks, Paul and Shepherd, Richard and Wieringa, Nicole and Zimmermanns, Nicole","Perceived behavioural control, unrealistic optimism and dietary change: An exploratory study,.","1995","concernedAbout"
"238","concernedAbout"," `I think of myself as someone who is concerned with healthy eating’ ","1999-13255-00319990301","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999","concernedAbout"
"239","concernedAbout"," `I think of myself as someone who is concerned with the health consequences of what I eat’ ","1999-13255-00319990301","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999","concernedAbout"
"247","concernedAbout"," ""I think of myself as a person who is very concerned with the care of his clothes"" ","puntoni2001self","Puntoni, Stefano","Self-identity and purchase intention: an extension of the theory of planned behaviour","2001","concernedAbout"
"253","concernedAbout","I think of myself as someone who is very concerned with dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","concernedAbout"
"254","concernedAbout"," I think of myself as the sort of person who is concerned about the long-term effects of supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","concernedAbout"
"288","concernedAbout"," ‘‘I think of myself as someone who is concerned about the health consequences of what I eat…","iiexplaining","II, FEDERICO","Explaining and promoting healthy food choice: A Theory of Planned Behaviour approach",NA,"concernedAbout"
"311","concernedAbout"," “I think of myself as someone who is very concerned with environmental issues in dining”","wang2016psychological","Wang, Yao-Fen and Wang, Yao-Fen and Wang, Chung-Jen and Wang, Chung-Jen","Do psychological factors affect green food and beverage behaviour? An application of the theory of planned behaviour","2016","concernedAbout"
"314","concernedAbout"," “I think of myself as someone who is very concerned about water issues"" ","yazdanpanah2011investigating","Yazdanpanah, Masoud and Hayati, Dariush and Zamani, Gholam Hossein","Investigating agricultural professionals’ intentions and behaviours towards water conservation: using a modified theory of planned behaviour","2011","concernedAbout"
"316","concernedAbout","I think of myself as a person who is concerned about using microcredits ","jebarajakirthy2014war","Jebarajakirthy, Charles and Lobo, Antonio C","War affected youth as consumers of microcredit: an application and extension of the theory of planned behaviour","2014","concernedAbout"
"358","concernedAbout"," I am very concerned with philanthropy. ","dennis2009nature","Dennis, Bryan S and Buchholtz, Ann K and Butts, Marcus M","The nature of giving: A theory of planned behavior examination of corporate philanthropy","2009","concernedAbout"
"2","considerMyself"," “I am someone who eats in a nutritious manner,” ","2017-06286-02920170201","Carfora, V. and Caso, D. and Conner, M.","Correlational study and randomised controlled trial for understanding and changing red meat consumption: The role of eating identities.","2017","amSomeoneWho"
"3","considerMyself"," “I am someone who is careful about what I eat”; ","2017-06286-02920170201","Carfora, V. and Caso, D. and Conner, M.","Correlational study and randomised controlled trial for understanding and changing red meat consumption: The role of eating identities.","2017","amSomeoneWho"
"5","considerMyself"," “I am someone who likes meat with every meal,” ","2017-06286-02920170201","Carfora, V. and Caso, D. and Conner, M.","Correlational study and randomised controlled trial for understanding and changing red meat consumption: The role of eating identities.","2017","amSomeoneWho"
"12","considerMyself"," ‘‘I see myself as a safe metro passenger”","2016-50443-00120161001","Wan, Xin and Schonfeld, Paul M. and Li, Qiming","What factors determine metro passengers’ risky riding behavior? An approach based on an extended theory of planned behavior.","2016","considerMyself"
"58","considerMyself","‘I see myself as a safe motorcyclist’","2013-00602-01720121101","Chorlton, Kathryn and Conner, Mark and Jamson, Samantha","Identifying the psychological determinants of risky riding: An application of an extended Theory of Planned Behaviour.","2012","considerMyself"
"62","considerMyself"," (3) whether they saw themselves as someone who engaged in sufficient exercise, ","2012-23507-00920121101","de Bruijn, Gert-Jan and Verkooijen, Kirsten and de Vries, Nanne K. and van den Putte, Bas","Antecedents of self identity and consequences for action control: An application of the theory of planned behaviour in the exercise domain.","2012","considerMyself"
"70","considerMyself"," I see myself as a person who . . . ","2012-18108-00920120901","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012","considerMyself"
"74","considerMyself"," ‘‘I see myself as someone who engages in sufficient exercise’’ ","2012-11628-00820120701","de Bruijn, Gert-Jan and van den Putte, Bas","Exercise promotion: An integration of exercise self-identity, beliefs, intention, and behaviour.","2012","considerMyself"
"82","considerMyself"," ‘I see myself as a person who smokes’ ","2011-21791-00920110901","Hassandra, Mary and Vlachopoulos, Symeon P. and Kosmidou, Evdoxia and Hatzigeorgiadis, Antonis and Goudas, Marios and Theodorakis, Yiannis","Predicting students’ intention to smoke by theory of planned behaviour variables and parental influences across school grade levels.","2011","considerMyself"
"95","considerMyself","I consider myself as a person who smokes ","2010-18094-00720101001","Høie, Magnhild and Moan, Inger Synnøve and Rise, Jostein","An extended version of the theory of planned behavour: Prediction of intentions to quit smoking using past behaviour as moderator.","2010","considerMyself"
"122","considerMyself","“I consider myself a typical buyer of my preferred soft drink” ","2008-08264-00420080601","Smith, Joanne R. and Terry, Deborah J. and Manstead, Antony S. R. and Louis, Winnifred R. and Kotterman, Diana and Wolfs, Jaqueline","The attitude-behavior relationship in consumer conduct: The role of norms, past behavior, and self-identity.","2008","considerMyself"
"123","considerMyself"," “I see myself as a typical buyer of my preferred soft drink.”","2008-08264-00420080601","Smith, Joanne R. and Terry, Deborah J. and Manstead, Antony S. R. and Louis, Winnifred R. and Kotterman, Diana and Wolfs, Jaqueline","The attitude-behavior relationship in consumer conduct: The role of norms, past behavior, and self-identity.","2008","considerMyself"
"125","considerMyself","“I consider myself as a typicalbuyer of my preferred beer” ","2007-15666-01320071101","Smith, Joanne R. and Terry, Deborah J. and Manstead, Antony S. R. and Louis, Winnifred R. and Kotterman, Diana and Wolfs, Jacqueline","Interaction effects in the theory of planned behavior: The interplay of self-identity and past behavior.","2007","considerMyself"
"126","considerMyself"," “I see myself as a typical buyer of mypreferred beer”","2007-15666-01320071101","Smith, Joanne R. and Terry, Deborah J. and Manstead, Antony S. R. and Louis, Winnifred R. and Kotterman, Diana and Wolfs, Jacqueline","Interaction effects in the theory of planned behavior: The interplay of self-identity and past behavior.","2007","considerMyself"
"149","considerMyself","[they] considered themselves concerned with environmental issues ","2002-11273-00320021101","Robinson, Ramona and Smith, Chery","Psychosocial and demographic variables associated with consumer intention to purchase sustainably produced foods as defined by the Midwest Food Alliance.","2002","considerMyself"
"150","considerMyself"," and whether they considered themselves environmentally conscious consumers","2002-11273-00320021101","Robinson, Ramona and Smith, Chery","Psychosocial and demographic variables associated with consumer intention to purchase sustainably produced foods as defined by the Midwest Food Alliance.","2002","considerMyself"
"180","considerMyself"," “Would you class yourself 3s . . . a nondrinker, a light drinker, a moderate drinker, or a heavy drinker?”","1999-15251-00519990801","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999","considerMyself"
"201","considerMyself","'Generally, do you consider yourself to be a 'safety conscious' pedestrian'","1998-03236-00119981201","Evans, Daphne and Norman, Paul","Understanding pedestrians' road crossing decisions: An application of the theory of planned behaviour.","1998","considerMyself"
"244","considerMyself","“I see myself to be a healthy eater” ","doi:10.1108/NFS-06-2014-0055","Amanda M Brouwer and Katie E. Mosack","Expanding the theory of planned behavior to predict healthy eating behaviors: Exploring a healthy eater identity","2015","considerMyself"
"262","considerMyself"," I consider myself a typical user of dietary supplements ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","considerMyself"
"263","considerMyself"," I see myself as a typical user of dietary supplements","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","considerMyself"
"283","considerMyself","“I see myself to be a healthy/fruit/vegetable eater.” ","jenkins2015motivating","JENKINS, Amy","Motivating Fruit and Vegetable Consumption Using Self-Identity","2015","considerMyself"
"292","considerMyself","“I see myself as sporty person who participates in sport at least 30 minutes 3 times per week over the next five weeks during leisure time” ","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to Investigate the Antecedents of Physical Activity Participation among Saudi Adolescents","2010","considerMyself"
"295","considerMyself"," “I see myself as a physically active person who exercises vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time” ","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to Investigate the Antecedents of Physical Activity Participation among Saudi Adolescents","2010","considerMyself"
"312","considerMyself","“I consider myself an energy-saver”","pakpour2014household","Pakpour, Amir H and Zeidi, Isa Mohammadi and Emamjomeh, Mohammad Mahdi and Asefzadeh, Saeed and Pearson, Heidi","Household waste behaviours among a community sample in Iran: an application of the theory of planned behaviour","2014","considerMyself"
"350","considerMyself","‘I see myself as sporty’ ","jackson2003applying","JACKSON, CATH and SMITH, ANDREW and CONNER, MARK","Applying an extended version of the theory of planned behaviour to physical activity","2003","considerMyself"
"351","considerMyself"," ‘I see myself as fit and healthy’ ","jackson2003applying","JACKSON, CATH and SMITH, ANDREW and CONNER, MARK","Applying an extended version of the theory of planned behaviour to physical activity","2003","considerMyself"
"352","considerMyself"," ‘I see myself as a physically active person’ ","jackson2003applying","JACKSON, CATH and SMITH, ANDREW and CONNER, MARK","Applying an extended version of the theory of planned behaviour to physical activity","2003","considerMyself"
"32","considerMyself"," The idea of participating in the [target behavior] to commercialize my research fits well into the image that I have of myself and my scientific work’’","2014-50754-00120151201","Obschonka, Martin and Silbereisen, Rainer K. and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: Predictors and effects within the theory of planned behavior framework.","2015","image"
"41","considerMyself"," My consumption is identical with my image. ","2014-14302-00820140501","Oh, Jong-Chul and Yoon, Sung-Joon","Theory-based approach to factors affecting ethical consumption.","2014","image"
"266","considerMyself"," Item 3: ‘‘…fits well into the image that I have of myself and my scientific work’’","obschonka2015entrepreneurial","Obschonka, Martin and Silbereisen, Rainer K and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: predictors and effects within the theory of planned behavior framework","2015","image"
"7","considerMyself","“I think of myself as a healthy eater” ","2016-00125-00120161101","Carfora, V. and Caso, D. and Conner, M.","The role of self-identity in predicting fruit and vegetable intake.","2016","selfAs"
"8","considerMyself"," “I think of myself as a person who is interested in eating healthy” ","2016-00125-00120161101","Carfora, V. and Caso, D. and Conner, M.","The role of self-identity in predicting fruit and vegetable intake.","2016","selfAs"
"34","considerMyself"," ‘I think of myself as an ethical person’","2015-25228-00320150701","Peluso, Alessandro M.","Psychological drivers in the adoption of morally controversial innovations: The moderating role of ethical self-identity.","2015","selfAs"
"49","considerMyself"," I think of myself as an ethical consumer","2013-26519-01920131001","Dowd, Kylie and Burke, Karena J.","The influence of ethical values and food choice motivations on intentions to purchase sustainably sourced foods.","2013","selfAs"
"50","considerMyself","“I like to think of myself as someone with environmental concern” ","2013-27374-00520130901","Barata, Raquel and Castro, Paula","'I feel recycling matters… sometimes': The negative influence of ambivalence on waste separation among teenagers.","2013","selfAs"
"71","considerMyself"," I like to think of myself as someone who . . .","2012-18108-00920120901","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012","selfAs"
"76","considerMyself","“I think of myself as a green consumer,” ","2012-07263-00620120301","Dean, Moira and Raats, Monique M. and Shepherd, Richard","The role of self-identity, past behavior, and their interaction in predicting intention to purchase fresh and processed organic food.","2012","selfAs"
"88","considerMyself","regarding self as a healthy eater, ","2011-07880-00520110501","Jenkins, Catherine M. and McKenzie, Karen","The application of the theory of planned behaviour to diet in carers of people with an intellectual disability.","2011","selfAs"
"97","considerMyself","‘I think of myself as an environmentally-friendly consumer’, ","2010-03425-00120100901","Whitmarsh, Lorraine and O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours.","2010","selfAs"
"114","considerMyself","‘‘I think of myself as an environmental activist’’ ","2008-16689-00320081201","Fielding, Kelly S. and McDonald, Rachel and Louis, Winnifred R.","Theory of planned behaviour, identity and intentions to engage in environmental activism.","2008","selfAs"
"135","considerMyself","‘‘I look at myself as a person who smokes’’ ","2006-21750-00220061201","Moan, Inger Synnøve and Rise, Jostein","Predicting smoking reduction among adolescents using an extended version of the theory of planned behaviour.","2006","selfAs"
"143","considerMyself","“1 look at myself as a person who smokes,” ","2005-09488-00320050101","Moan, Inger Synnøve and Rise, Jostein","Quitting Smoking: Applying an Extended Version of the Theory of Planned Behavior to Predict Intention and Behavior.","2005","selfAs"
"145","considerMyself"," “I first and foremost look at myself as a nonsmoker.”","2005-09488-00320050101","Moan, Inger Synnøve and Rise, Jostein","Quitting Smoking: Applying an Extended Version of the Theory of Planned Behavior to Predict Intention and Behavior.","2005","selfAs"
"147","considerMyself","‘I like to think of myself as someone who always thinks carefully about how to cross the road’ ","2003-06139-00120030501","Evans, Daphne and Norman, Paul","Predicting adolescent pedestrians' road-crossing intentions: An application and extension of the Theory of Planned Behaviour.","2003","selfAs"
"148","considerMyself"," ‘I like to think of myself as a careful pedestrian’","2003-06139-00120030501","Evans, Daphne and Norman, Paul","Predicting adolescent pedestrians' road-crossing intentions: An application and extension of the Theory of Planned Behaviour.","2003","selfAs"
"165","considerMyself","""I think of myself as someone who is sexually liberated."" ","2004-10224-00720010101","Conner, Mark and Flesch, Dina","Having casual sex: Additive and interactive effects of alcohol and condom availability on the determinants of intentions.","2001","selfAs"
"166","considerMyself"," ""I think of myself as someone who is broadminded with regards to casual sex.""","2004-10224-00720010101","Conner, Mark and Flesch, Dina","Having casual sex: Additive and interactive effects of alcohol and condom availability on the determinants of intentions.","2001","selfAs"
"181","considerMyself","`I think of myself as a ``healthy eater'' ","1999-11412-00219990701","Armitage, Christopher J. and Conner, Mark","Predictive validity of the theory of planned behaviour: The role of questionnaire format and social desirability.","1999","selfAs"
"184","considerMyself"," `I think of myself as someone who enjoys the pleasures of eating'","1999-11412-00219990701","Armitage, Christopher J. and Conner, Mark","Predictive validity of the theory of planned behaviour: The role of questionnaire format and social desirability.","1999","selfAs"
"185","considerMyself","I think of myself as a cannabis/ marijuana user’ ","1999-05902-00519990601","Conner, Mark and McMillan, Brian","Interaction effects in the theory of planned behavior: Studying cannabis use.","1999","selfAs"
"189","considerMyself","`I think of myself as a healthy eater' ","1999-05235-00119990601","Armitage, Christopher J. and Conner, Mark and Norman, Paul","Differential effects of mood on information processing: Evidence from the theories of reasoned action and planned behaviour.","1999","selfAs"
"192","considerMyself"," `I think of myself as someone who enjoys the pleasures of eating'","1999-05235-00119990601","Armitage, Christopher J. and Conner, Mark and Norman, Paul","Differential effects of mood on information processing: Evidence from the theories of reasoned action and planned behaviour.","1999","selfAs"
"193","considerMyself","` I think of myself as a `` healthy eater ’’ ’ ","1999-13255-00319990301","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999","selfAs"
"196","considerMyself"," `I think of myself as someone who enjoysthe pleasures of eating ’","1999-13255-00319990301","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999","selfAs"
"197","considerMyself","“I think of myself as a healthy eater” ","1999-08085-00419990101","Armitage, Christopher J. and Conner, Mark","Distinguishing perceptions of control from self-efficacy: Predicting consumption of a low-fat diet using the theory of planned behavior.","1999","selfAs"
"200","considerMyself"," “I think of myself as someone who enjoys the pleasures of eating.”","1999-08085-00419990101","Armitage, Christopher J. and Conner, Mark","Distinguishing perceptions of control from self-efficacy: Predicting consumption of a low-fat diet using the theory of planned behavior.","1999","selfAs"
"203","considerMyself"," “I think of myself as someone who generally thinks carefully about the health consequences of my food choices” ","1998-10865-00519980801","Sparks, Paul and Guthrie, Carol A.","Self-identity and the theory of planned behavior: A useful addition or an unhelpful artifice?","1998","selfAs"
"204","considerMyself"," “I think of myself as a health-conscious person”","1998-10865-00519980801","Sparks, Paul and Guthrie, Carol A.","Self-identity and the theory of planned behavior: A useful addition or an unhelpful artifice?","1998","selfAs"
"207","considerMyself"," ""I think of myself as someone who enjoys the pleasures of eating""","1996-11242-00119950601","Sparks, Paul and Shepherd, Richard and Wieringa, Nicole and Zimmermanns, Nicole","Perceived behavioural control, unrealistic optimism and dietary change: An exploratory study,.","1995","selfAs"
"209","considerMyself","Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or what","1992-05304-00119900301","Granberg, Donald and Holmberg, Sören","The intention-behavior relationship among U.S. and Swedish voters.","1990","selfAs"
"210","considerMyself","I think of myself as an ethical shopper","2017-22150-01320170901","O'Connor, Erin L. and Sims, Lauren and White, Katherine M.","Ethical food choices: Examining people’s Fair Trade purchasing decisions.","2017","selfAs"
"215","considerMyself"," “Thinking of myself as a student enrolled in PYB110, it is not important for me to . . .” ","2011-19081-00920110601","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011","selfAs"
"224","considerMyself"," “Thinking of myself as a student enrolled in bachelor of social science (psychology), it is not important for me to attend every peer-assisted study session for 1st-year statistics this semester” ","2008-12902-00520080801","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008","selfAs"
"227","considerMyself","‘I think of myself as’: ","2007-07467-00320070401","Chedzoy, S. M. and Burden, R. L.","What can psychology tell us about teaching dance? The potential contribution of Ajzen's Theory of Planned Behavior.","2007","selfAs"
"237","considerMyself","`I think of myself as a ``healthy eater’’’ ","1999-13255-00319990301","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999","selfAs"
"240","considerMyself"," `I think of myself as someone who enjoys the pleasures of eating’","1999-13255-00319990301","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999","selfAs"
"246","considerMyself","""I regard myself as a person preoccupied with always being in expensive and high quality clothing"" ","puntoni2001self","Puntoni, Stefano","Self-identity and purchase intention: an extension of the theory of planned behaviour","2001","selfAs"
"248","considerMyself"," ""I think of myself as a trendy person""","puntoni2001self","Puntoni, Stefano","Self-identity and purchase intention: an extension of the theory of planned behaviour","2001","selfAs"
"249","considerMyself","“I think of myself as a drinker.” ","haydon2017examining","Haydon, Helen M and Obst, Patricia L and Lewis, Ioni","Examining Women's Alcohol Consumption: The Theory of Planned Behavior and Self-Identity","2017","selfAs"
"252","considerMyself"," “I think of myself as fun because I have a few drinks.”","haydon2017examining","Haydon, Helen M and Obst, Patricia L and Lewis, Ioni","Examining Women's Alcohol Consumption: The Theory of Planned Behavior and Self-Identity","2017","selfAs"
"255","considerMyself"," I think of myself as someone who generally thinks carefully about the health consequences of dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","selfAs"
"268","considerMyself"," “I think of myself as someone who cares about his dental health,”","dumitrescu2013predicting","Dumitrescu, Alexandrina L and Du{\c{t}}{\u{a}}, Carmen and Dogaru, Carmen Beatrice and Manolescu, Bogdan","Predicting Undergraduates' Intentions to Improve Oral Health Behaviors: The Importance of Self--Identity--A Pilot Study","2013","selfAs"
"269","considerMyself","“I think of my self as a young enterpreneur” ","patiro2016theory","Patiro, Shine Pintor S and Budiyanti, Hety","The Theory of Planned Behavior, Past Behavior, Situational Factors, and Self-Identity Factors Drive Indonesian Enterpreneurs to Be Indebtedness","2016","selfAs"
"270","considerMyself"," “I think of my self as a optimist person” ","patiro2016theory","Patiro, Shine Pintor S and Budiyanti, Hety","The Theory of Planned Behavior, Past Behavior, Situational Factors, and Self-Identity Factors Drive Indonesian Enterpreneurs to Be Indebtedness","2016","selfAs"
"271","considerMyself"," “I think of my self as a liable person ","patiro2016theory","Patiro, Shine Pintor S and Budiyanti, Hety","The Theory of Planned Behavior, Past Behavior, Situational Factors, and Self-Identity Factors Drive Indonesian Enterpreneurs to Be Indebtedness","2016","selfAs"
"272","considerMyself"," “I think of my self as a honest person”","patiro2016theory","Patiro, Shine Pintor S and Budiyanti, Hety","The Theory of Planned Behavior, Past Behavior, Situational Factors, and Self-Identity Factors Drive Indonesian Enterpreneurs to Be Indebtedness","2016","selfAs"
"274","considerMyself","‘I think of myself as an environmentally-friendly consumer","carfora2017moderating","Carfora, Valentina and Caso, Daniela and Sparks, Paul and Conner, Mark","Moderating effects of pro-environmental self-identity on pro-environmental intentions and behaviour: A multi-behaviour study","2017","selfAs"
"286","considerMyself","“I think of myself as a healthy eater… ","iiexplaining","II, FEDERICO","Explaining and promoting healthy food choice: A Theory of Planned Behaviour approach",NA,"selfAs"
"287","considerMyself"," “I think of myself as someone who is concern with healthy eating” ","iiexplaining","II, FEDERICO","Explaining and promoting healthy food choice: A Theory of Planned Behaviour approach",NA,"selfAs"
"296","considerMyself"," “I think of myself as someone who exercises vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time”.","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to Investigate the Antecedents of Physical Activity Participation among Saudi Adolescents","2010","selfAs"
"297","considerMyself","I think of myself as a water conservation person ","yazdanpanah2016investigating","Yazdanpanah, Masoud and Forouzani, Masoumeh and Abdeshahi, Abbas and Jafari, Ahmad","Investigating the effect of moral norm and self-identity on the intention toward water conservation among Iranian young adults","2016","selfAs"
"307","considerMyself","“I think of myself as someone who eat healthy ”","bilim2015determinants","B{\.I}L{\.I}M, {\.I}BRAH{\.I}M","DETERMINANTS OF HEALTHY EATING BEHAVIOURS AMONG MIDDLE SCHOOL STUDENTS: THE THEORY OF PLANNED BEHAVIOUR APPROACH","2015","selfAs"
"310","considerMyself"," “I think of myself as a green food consumer” ","wang2016psychological","Wang, Yao-Fen and Wang, Yao-Fen and Wang, Chung-Jen and Wang, Chung-Jen","Do psychological factors affect green food and beverage behaviour? An application of the theory of planned behaviour","2016","selfAs"
"313","considerMyself","""I think of myself as an water conservation person"" ","yazdanpanah2011investigating","Yazdanpanah, Masoud and Hayati, Dariush and Zamani, Gholam Hossein","Investigating agricultural professionals’ intentions and behaviours towards water conservation: using a modified theory of planned behaviour","2011","selfAs"
"320","considerMyself"," I think of myself as a person of great interest in green products ","hampredicting","Ham, Marija and {\v{S}}timac, Helena and Pap, Ana and Oec, Mag","PREDICTING THE INTENTION TO PURCHASE GREEN FOOD IN CROATIA--THE INFLUENCE OF PERCIEVED SELF-IDENTITY",NA,"selfAs"
"357","considerMyself","I think of myself as a philanthropist. ","dennis2009nature","Dennis, Bryan S and Buchholtz, Ann K and Butts, Marcus M","The nature of giving: A theory of planned behavior examination of corporate philanthropy","2009","selfAs"
