"","Article","Item","Category 1","Category 2","Category 3"
"4","Haydon, Obst & Lewis (2018/01//)"," “I think of myself as fun because I have a few drinks.”","selfAs","selfAs","considerMyself"
"5","Carfora, Caso, Sparks & Conner (2017/11//)","‘I think of myself as an environmentally-friendly consumer","selfAs","selfAs","considerMyself"
"9","O'Connor, Sims & White (2017/09//)","I think of myself as an ethical shopper","selfAs","selfAs","considerMyself"
"13","Carfora, Caso & Conner (2016/11/01/)","“I think of myself as a healthy eater” ","selfAs","selfAs","considerMyself"
"14","Carfora, Caso & Conner (2016/11/01/)"," “I think of myself as a person who is interested in eating healthy” ","selfAs","selfAs","considerMyself"
"28","Peluso (2015/07//)"," ‘I think of myself as an ethical person’","selfAs","selfAs","considerMyself"
"43","Dowd & Burke (2013/10/01/)"," I think of myself as an ethical consumer","selfAs","selfAs","considerMyself"
"44","Barata & Castro (2013/09//)","“I like to think of myself as someone with environmental concern” ","selfAs","selfAs","considerMyself"
"70","Gardner, de Bruijn & Lally (2012/09//)"," I like to think of myself as someone who... (...drink[ing] more than 8 units on one occasion...)","selfAs","selfAs","considerMyself"
"75","Dean, Raats & Shepherd (2012/03//)","“I think of myself as a green consumer,” ","selfAs","selfAs","considerMyself"
"87","White, O'Connor & Hamilton (2011/06//)"," “Thinking of myself as a student enrolled in PYB110, it is not important for me to . . .[attending peer-assisted study sessions for <U+FB01>rst-year statistics] ” ","selfAs","selfAs","considerMyself"
"96","Whitmarsh & O'Neill (2010/09//)","‘I think of myself as an environmentally-friendly consumer’, ","selfAs","selfAs","considerMyself"
"113","Fielding, McDonald & Louis (2008/12//)","‘‘I think of myself as an environmental activist’’ ","selfAs","selfAs","considerMyself"
"123","White, Thomas, Johnston & Hyde (2008/08//)"," “Thinking of myself as a student enrolled in bachelor of social science (psychology), it is not important for me to attend every peer-assisted study session for 1st-year statistics this semester” ","selfAs","selfAs","considerMyself"
"140","Moan & Rise (2006/12//)","‘‘I look at myself as a person who smokes’’ ","selfAs","selfAs","considerMyself"
"159","Moan & Rise (2005///)","“1 look at myself as a person who smokes,” ","selfAs","selfAs","considerMyself"
"161","Moan & Rise (2005///)"," “I first and foremost look at myself as a nonsmoker.”","selfAs","selfAs","considerMyself"
"163","Evans & Norman (2003/05//)","‘I like to think of myself as someone who always thinks carefully about how to cross the road’ ","selfAs","selfAs","considerMyself"
"164","Evans & Norman (2003/05//)"," ‘I like to think of myself as a careful pedestrian’","selfAs","selfAs","considerMyself"
"175","Conner & Flesch (2001/01//)","""I think of myself as someone who is sexually liberated."" ","selfAs","selfAs","considerMyself"
"176","Conner & Flesch (2001/01//)"," ""I think of myself as someone who is broadminded with regards to casual sex.""","selfAs","selfAs","considerMyself"
"177","Åstrøm & Rise (2001///)","“I look at myself as a person who eats healthy food""","selfAs","selfAs","considerMyself"
"190","Armitage & Conner (1999/07//Jul-Aug, 1999)","`I think of myself as a ``healthy eater'' ","selfAs","selfAs","considerMyself"
"193","Armitage & Conner (1999/07//Jul-Aug, 1999)"," `I think of myself as someone who enjoys the pleasures of eating'","selfAs","selfAs","considerMyself"
"194","Conner & McMillan (1999/06//)","I think of myself as a cannabis/ marijuana user’ ","selfAs","selfAs","considerMyself"
"198","Armitage, Conner & Norman (1999/06//)","`I think of myself as a healthy eater' ","selfAs","selfAs","considerMyself"
"201","Armitage, Conner & Norman (1999/06//)"," `I think of myself as someone who enjoys the pleasures of eating'","selfAs","selfAs","considerMyself"
"202","Armitage & Conner (1999/03//)","`I think of myself as a `` healthy eater ’’ ’ ","selfAs","selfAs","considerMyself"
"205","Armitage & Conner (1999/03//)"," `I think of myself as someone who enjoys the pleasures of eating","selfAs","selfAs","considerMyself"
"206","Armitage & Conner (1999/01//)","“I think of myself as a healthy eater” ","selfAs","selfAs","considerMyself"
"209","Armitage & Conner (1999/01//)"," “I think of myself as someone who enjoys the pleasures of eating.”","selfAs","selfAs","considerMyself"
"212","Sparks & Guthrie (1998/08//)"," “I think of myself as someone who generally thinks carefully about the health consequences of my food choices” ","selfAs","selfAs","considerMyself"
"213","Sparks & Guthrie (1998/08//)"," “I think of myself as a health-conscious person”","selfAs","selfAs","considerMyself"
"215","Sparks, Shepherd, Wieringa & Zimmermanns (1995/06//)"," ""I think of myself as someone who enjoys the pleasures of eating""","selfAs","selfAs","considerMyself"
"224","Sparks & Shepherd (1992/12//)","I think of myself as a 'health-conscious consumer ","selfAs","selfAs","considerMyself"
"225","Sparks & Shepherd (1992/12//)"," I think of myself as a 'green consumer' ","selfAs","selfAs","considerMyself"
"227","Granberg & Holmberg (1990/03//)","""Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or what?""","selfAs","selfAs","considerMyself"
"233","Haydon, Obst & Lewis (2018)","“I think of myself as a drinker.” ","selfAs","selfAs","considerMyself"
"236","Haydon, Obst & Lewis (2018)"," “I think of myself as fun because I have a few drinks.”","selfAs","selfAs","considerMyself"
"241","Kiefer (2008)"," I think of myself as someone who generally thinks carefully about the health consequences of dietary supplement use ","selfAs","selfAs","considerMyself"
"251","Dumitrescu, Du{\c{t}}{\u{a}}, Dogaru & Manolescu (2013)"," “I think of myself as someone who cares about his dental health”","selfAs","selfAs","considerMyself"
"252","Puntoni (2001)","""I regard myself as a person preoccupied with always being in expensive and high quality clothing"" ","selfAs","selfAs","considerMyself"
"254","Puntoni (2001)"," ""I think of myself as a trendy person""","selfAs","selfAs","considerMyself"
"255","Patiro & Budiyanti (2016)","“I think of my self as a young enterpreneur” ","selfAs","selfAs","considerMyself"
"256","Patiro & Budiyanti (2016)"," “I think of my self as a optimist person” ","selfAs","selfAs","considerMyself"
"257","Patiro & Budiyanti (2016)"," “I think of my self as a liable person ","selfAs","selfAs","considerMyself"
"258","Patiro & Budiyanti (2016)"," “I think of my self as a honest person”","selfAs","selfAs","considerMyself"
"279","B{\.I}L{\.I}M (2015)","“I think of myself as someone who eat healthy ”","selfAs","selfAs","considerMyself"
"282","Wang & Wang (2016)"," “I think of myself as a green food consumer” ","selfAs","selfAs","considerMyself"
"288","Carfora (2016)","“I think of myself as a healthy eater ","selfAs","selfAs","considerMyself"
"289","Carfora (2016)"," “I think of myself as someone who is concern with healthy eating” ","selfAs","selfAs","considerMyself"
"305","Yazdanpanah, Hayati & Zamani (2011)","""I think of myself as an water conservation person"" ","selfAs","selfAs","considerMyself"
"308","Yazdanpanah, Forouzani, Abdeshahi & Jafari (2016)","I think of myself as a water conservation person ","selfAs","selfAs","considerMyself"
"322","Ham, {\v{S}}timac, Pap & Oec (2015)"," I think of myself as a person of great interest in green products ","selfAs","selfAs","considerMyself"
"336","Dennis, Buchholtz & Butts (2009)","I think of myself as a philanthropist. ","selfAs","selfAs","considerMyself"
"343","Alselaimi (2010)"," “I think of myself as someone who exercises vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time”.","selfAs","selfAs","considerMyself"
"86","White, O'Connor & Hamilton (2011/06//)","“Generally speaking, I think it is appropriate for me as a student enrolled in PYB110 to . . .[attending peer-assisted study sessions for <U+FB01>rst-year statistics] ” ","appropriateForMe","excluded","excluded"
"122","White, Thomas, Johnston & Hyde (2008/08//)"," “Generally speaking, I think it is appropriate for me as a student enrolled in bachelor of social science (psychology) to attend every peer-assisted study session for 1st-year statistics this semester” ","appropriateForMe","excluded","excluded"
"280","Wang & Wang (2016)","“I firmly believe in the idea of GFBs”","believeIn","excluded","excluded"
"36","Oh & Yoon (2014/05//)"," My consumption is identical with my characteristics.","characteristics","excluded","excluded"
"264","Holst & Iversen (2012)"," I never read the list of ingredients on the label before using a new personal care product. ","domainSpecific","excluded","excluded"
"265","Holst & Iversen (2012)"," I always read the list of ingredients on the label before using a new personal care product. ","domainSpecific","excluded","excluded"
"98","Whitmarsh & O'Neill (2010/09//)"," ‘I would be embarrassed to be seen as having an environmentallyfriendly lifestyle’ ","embarrassed","excluded","excluded"
"61","de Bruijn, Verkooijen, de Vries & van den Putte (2012/11//)","[..] engaging in sufficient exercise was something that [..] fitted the way they wanted to live, ","howIWantToLive","excluded","excluded"
"71","de Bruijn & van den Putte (2012/07//)","‘‘Engaging in sufficient exercise is something that fits the way I want to live’’ ","howIWantToLive","excluded","excluded"
"108","van den Putte, Yzer, Willemsen & de Bruijn (2009/09//)"," “Quitting smoking within the next 3 months fits with how I want to live” ","howIWantToLive","excluded","excluded"
"110","van den Putte, Yzer, Willemsen & de Bruijn (2009/09//)"," “Smoking fits with how I want to live”","howIWantToLive","excluded","excluded"
"284","Verkooijen & de Bruijn (2013)","[Engaging in physical exercise is something that] fits the way I want to live ","howIWantToLive","excluded","excluded"
"89","White, O'Connor & Hamilton (2011/06//)"," As a student enrolled in PYB110, I think it is important for me to . . . [attending peer-assisted study sessions for <U+FB01>rst-year statistics] ","important","excluded","excluded"
"125","White, Thomas, Johnston & Hyde (2008/08//)"," “As a student enrolled in bachelor of social science (psychology), I think it is important for me to attend every peer-assisted study session for 1st-year statistics this semester.”","important","excluded","excluded"
"167","Armitage & Conner (2001/07//)","“For you personally, how important is blood donation?‘ ","important","excluded","excluded"
"272","Holst & Iversen (2012)"," I think it is important to buy organic products in order to protect the environment. ","important","excluded","excluded"
"273","Holst & Iversen (2012)"," I think it is important to buy organic products in order to protect myself and loved ones. ","important","excluded","excluded"
"25","Bagot, Masser & White (2015/08//)","Donation is important to me ","importantToMe","excluded","excluded"
"266","Holst & Iversen (2012)"," It is important to me that my personal care products are branded with an eco-label such as the Flower, the Nordic Swan or Eco-Cert. ","importantToMe","excluded","excluded"
"267","Holst & Iversen (2012)"," It is not important to me that my personal care products are branded with an eco-label such as the Flower, the Nordic Swan or Eco-Cert. ","importantToMe","excluded","excluded"
"315","Masser, White, Hyde, Terry & Robinson (2009)"," “Blood donation is important to me,” ","importantToMe","excluded","excluded"
"317","McMahon & Byrne (2008)","“Blood donation is important to me” (not at all to a great deal) ","importantToMe","excluded","excluded"
"324","Masser, Bednall, White & Terry (2012)","Blood donation is important to me,” ","importantToMe","excluded","excluded"
"33","Oh & Yoon (2014/05//)","My consumption is identical with my lifestyle. ","lifestyle","excluded","excluded"
"29","Cheng & Chu (2014/09//)","I will study hard for the ethics courses ","miscellaneous","excluded","excluded"
"157","Liu, Doucette, Farris & Nayakankuppam (2005/06//)","“To what extent does trying to get more information about a medication for an advertised antiarthritic prescription medicine from each of the following sources during the next six weeks affect you” (“1 = does not affect” and “7 = does affect”) ","miscellaneous","excluded","excluded"
"158","Liu, Doucette, Farris & Nayakankuppam (2005/06//)"," “Quite frankly, I don't care about trying to get more information about a medication for an advertised antiarthritic prescription medicine from each of the following sources during the next six weeks” (“1 = strongly disagree” and “7 = strongly agree”)","miscellaneous","excluded","excluded"
"169","Armitage & Conner (2001/07//)"," “To what extent does blood donation affect you personally?” ","miscellaneous","excluded","excluded"
"171","Armitage & Conner (2001/07//)"," “Quite frankly, I don’t care about blood donation” ","miscellaneous","excluded","excluded"
"188","Conner, Warren, Close & Sparks (1999/08//)"," “Drinking alcohol is a normal part of everyday life.” ","miscellaneous","excluded","excluded"
"230","Charng, Piliavin & Callero (1988/12//)"," I really do not have any clear feelings about blood donation (reversed). ","miscellaneous","excluded","excluded"
"238","Brouwer & Mosack (2015)"," “I have numerous goals related to healthy eating”","miscellaneous","excluded","excluded"
"243","Kiefer (2008)"," I really do not have any clear feelings about dietary supplement use ","miscellaneous","excluded","excluded"
"269","Holst & Iversen (2012)"," Unless each of us recognizes the need to protect the environment, future generations will suffer the consequences. ","miscellaneous","excluded","excluded"
"274","Holst & Iversen (2012)"," The environment is one of the most important issues facing society today.","miscellaneous","excluded","excluded"
"281","Wang & Wang (2016)"," “I involve in GFB actions”","miscellaneous","excluded","excluded"
"312","JENKINS (2015)"," “I have numerous goals related to healthy eating/ eating fruit/ eating vegetables” ","miscellaneous","excluded","excluded"
"318","McMahon & Byrne (2008)"," “The issue of blood donation is...”(not relevant to me torelevant to me) ","miscellaneous","excluded","excluded"
"323","Ham, {\v{S}}timac, Pap & Oec (2015)"," Green products are a part of my lifestyle.","miscellaneous","excluded","excluded"
"345","Jebarajakirthy & Lobo (2014)"," It is part of my life to seek microcredits ","miscellaneous","excluded","excluded"
"118","McMillan, Conner, Woolridge, Dyson, Green, Renfrew, Bharj & Clarke (2008/10//)"," ‘I wouldn’t like other people to see me as the sort of woman who would breastfeed’ ","perceivedProjectedImage","excluded","excluded"
"119","McMillan, Conner, Woolridge, Dyson, Green, Renfrew, Bharj & Clarke (2008/10//)"," ‘I wouldn’t like other people to see me as the sort of woman who would bottle feed’","perceivedProjectedImage","excluded","excluded"
"278","Jackson, Smith & Conner (2003)"," ‘Others might see me as a couch potato’","perceivedProjectedImage","excluded","excluded"
"45","Barata & Castro (2013/09//)"," “I separate my waste because I want to feel that I personally contribute to reducing air pollution”","personal","excluded","excluded"
"172","Armitage & Conner (2001/07//)"," “The issues of blood donation is . . . (not personally relevant-personally relevant)"" ","personal","excluded","excluded"
"271","Holst & Iversen (2012)"," Personally, I cannot help to slow down environmental deterioration. ","personal","excluded","excluded"
"88","White, O'Connor & Hamilton (2011/06//)"," For me, . . . [attending peer-assisted study sessions for <U+FB01>rst-year statistics] will not assist in fulfilling my role as a student enrolled in PYB110 ","role","excluded","excluded"
"90","White, O'Connor & Hamilton (2011/06//)"," To what extent do you think that . . .[attending peer-assisted study sessions for <U+FB01>rst-year statistics] is a significant part of your role as a student enrolled in PYB110?","role","excluded","excluded"
"92","Langteau (2011///)","“I would be the person primarily responsible for initiating a discussion of DBS surgery with this patient,”","role","excluded","excluded"
"121","White, Thomas, Johnston & Hyde (2008/08//)","To what extent do you think that attending every peer-assisted study session for 1st-year statistics this semester is a significant part of your role as a student enrolled in bachelor of social science (psychology)? ","role","excluded","excluded"
"124","White, Thomas, Johnston & Hyde (2008/08//)"," “For me, attending every peer-assisted study session for 1st-year statistics this semester will not assist in fulfilling my role as a student enrolled in bachelor of social science (psychology)” ","role","excluded","excluded"
"297","White, Poulsen & Hyde (2017)"," general role identity as: ","roleIdentity","excluded","excluded"
"268","Holst & Iversen (2012)"," A substantial amount of money should be devoted to environmental protection. ","should","excluded","excluded"
"270","Holst & Iversen (2012)"," Green issues should not be a main consideration when deciding what we do in the future. ","should","excluded","excluded"
"34","Oh & Yoon (2014/05//)"," My consumption is identical with my values. ","values","excluded","excluded"
"134","Thorbjørnsen, Pedersen & Nysveen (2007/09//)","“I use MMS to express my personal values.” ","express","express","excluded"
"135","Thorbjørnsen, Pedersen & Nysveen (2007/09//)"," “I use MMS to express who I want to be.” ","express","express","excluded"
"136","Thorbjørnsen, Pedersen & Nysveen (2007/09//)"," “Using mobileservices like MMS is part of how I express my personality.”","express","express","excluded"
"153","Tsorbatzoudis (2005/12//)"," ""Participation in physical activities is a way I express myself.""","express","express","excluded"
"22","Obschonka, Silbereisen, Cantner & Goethner (2015/12//)","“The idea of participating in the [target behavior] to commercialize my research…”; Item 1: “…does not fit my self-concept” ","self","self","excluded"
"286","Verkooijen & de Bruijn (2013)"," [Engaging in physical exercise is something that] is how I perceive myself ","self","self","excluded"
"313","JENKINS (2015)"," “Being a healthy/fruit/vegetable eater is a central factor to my self-concept.”","self","self","excluded"
"6","Ho, Lwin & Lee (2017/10//)","“I would feel a loss if I were forced to give up SNSs;” ","feelAtALoss","feelAtALoss","feelAtALoss"
"79","Lu (2012///)"," I would feel at a loss if could not donate blood.","feelAtALoss","feelAtALoss","feelAtALoss"
"117","McMillan, Conner, Woolridge, Dyson, Green, Renfrew, Bharj & Clarke (2008/10//)"," ‘I would feel upset if I was not able to breastfeed’ ","feelAtALoss","feelAtALoss","feelAtALoss"
"132","Walsh & White (2007/10//)","“I would feel lost without using my mobile phone”","feelAtALoss","feelAtALoss","feelAtALoss"
"142","Moan & Rise (2006/12//)"," ‘‘I would feel that I missed out on something if I didn’t smoke’’","feelAtALoss","feelAtALoss","feelAtALoss"
"151","Tsorbatzoudis (2005/12//)","""I would feel that I lost something, if I could not participate in physical activities for at least 3 times a week in the next 3 mo.,"" ","feelAtALoss","feelAtALoss","feelAtALoss"
"154","Tsorbatzoudis (2005/10//)","'I would feel that I would lose something, if I could not eat healthily for the next three months' ","feelAtALoss","feelAtALoss","feelAtALoss"
"183","Terry, Hogg & White (1999/09//)"," `I would feel at a loss if were forced to give up household recycling ’","feelAtALoss","feelAtALoss","feelAtALoss"
"185","Conner, Warren, Close & Sparks (1999/08//)"," “I would feel a loss if I were forced to give up drinking alcohol” ","feelAtALoss","feelAtALoss","feelAtALoss"
"195","Conner & McMillan (1999/06//)"," ` I would feel at a loss if I were forced to give up using cannabis/marijuana’ ","feelAtALoss","feelAtALoss","feelAtALoss"
"221","Theodorakis (1994/06//)","""I would feel a loss, if I gave up exercising during the next two months"" ","feelAtALoss","feelAtALoss","feelAtALoss"
"229","Charng, Piliavin & Callero (1988/12//)"," I would feel a loss if I were forced to give up donating blood. ","feelAtALoss","feelAtALoss","feelAtALoss"
"244","Kiefer (2008)"," I would feel a loss if I were forced to give up my dietary supplement use ","feelAtALoss","feelAtALoss","feelAtALoss"
"259","Veludo-de-Oliveira, Pallister & Foxall (2013)","‘‘I would feel at a loss if I were forced to give up my volunteering’’ ","feelAtALoss","feelAtALoss","feelAtALoss"
"334","Wevers, Wigboldus, van Baaren & Veldhuizen (2014)"," “I would feel a loss if I were forced to give up donatingblood”","feelAtALoss","feelAtALoss","feelAtALoss"
"340","Alselaimi (2010)"," “I would feel at a loss if I were forced to give up exercising vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time” ","feelAtALoss","feelAtALoss","feelAtALoss"
"17","Wan, Schonfeld & Li (2016/10//)","‘‘I am the sort of passenger who rides safely and carefully at every opportunity” ","iAm","iAm","iAm"
"39","Leyland, van Wersch & Woodhouse (2014/01//)"," “I am typical of the sort of person who would<U+2009>…” [walking for exercise when the opportunity arises during my next long-haul flight”/“doing seated exercise when the opportunity arises during my next long-haul flight”]","iAm","iAm","iAm"
"56","Tunnicliff, Watson, White, Hyde, Schonfeld & Wishart (2012/11//)","“I am the sort of rider who rides safely at every opportunity” ","iAm","iAm","iAm"
"58","Tunnicliff, Watson, White, Hyde, Schonfeld & Wishart (2012/11//)"," “I am the sort of rider who takes risks at every opportunity” ","iAm","iAm","iAm"
"72","de Bruijn & van den Putte (2012/07//)"," ‘‘Engaging in sufficient exercise is something that fits who I am’’ ","iAm","iAm","iAm"
"83","Hassandra, Vlachopoulos, Kosmidou, Hatzigeorgiadis, Goudas & Theodorakis (2011/09//)"," ‘I am the type of the person who smokes’","iAm","iAm","iAm"
"84","Lokhorst, Staats, van Dijk, van Dijk & de Snoo (2011/07//)","“Subsidised /non-subsidised nature conservation practices are part of who I am” ","iAm","iAm","iAm"
"137","Tsigilis, Tsioumis & Gregoriadis (2007/06//)","""Generally, I am the type who is going to teach multicultural classes,""","iAm","iAm","iAm"
"156","Tsorbatzoudis (2005/10//)"," 'Healthy eating is an expression of who I am'","iAm","iAm","iAm"
"262","Holst & Iversen (2012)"," I am very self-conscious about my health. ","iAm","iAm","iAm"
"263","Holst & Iversen (2012)"," I am very involved with my health. ","iAm","iAm","iAm"
"285","Verkooijen & de Bruijn (2013)"," [Engaging in physical exercise is something that] fits who I am ","iAm","iAm","iAm"
"316","Masser, White, Hyde, Terry & Robinson (2009)"," “Donating blood is a part of who I am”","iAm","iAm","iAm"
"346","Jebarajakirthy & Lobo (2014)"," I am proud to use microcredits","iAm","iAm","iAm"
"16","Jiang, Zhao, Sun, Zhang, Zheng & Qu (2016/11//)","“I am a microblog user”","iAmA","iAm","iAm"
"138","Chedzoy & Burden (2007/04//)","[‘I think of myself as’:] a person who teaches dance’ ","iAmA","iAm","iAm"
"219","Theodorakis, Bagiatis & Goudas (1995/04//)"," ""I am a person who must teach individuals with disabilities during the next years.""","iAmA","iAm","iAm"
"300","Karimy, Niknami, Hidarnia & Hajizadeh (2012)","‘I am a non-smoker’ ","iAmA","iAm","iAm"
